Rep,Rep code
Russ Fulcher , ID01
Marie Newman , IL03
Mike Quigley , IL05
Danny Davis , IL07
Raja Krishnamoorthi , IL08
Janice Schakowsky , IL09
Brad Schneider , IL10
Bill Foster , IL11
Mike Bost , IL12
Lauren Underwood , IL14
Darin LaHood , IL18
Victoria Spartz , IN05
Greg Pence , IN06
Larry Bucshon , IN08
Ashley Hinson , IA01
Mariannette Miller,Meeks , IA02
Cynthia Axne , IA03
Randy Feenstra , IA04
Ron Estes , KS04
Brett Guthrie , KY02
John Yarmuth , KY03
Harold Rogers , KY05
Andy Barr , KY06
Steve Scalise , LA01
Troy Carter , LA02
Clay Higgins , LA03
Mike Johnson , LA04
Julia Letlow , LA05
Garret Graves , LA06
Chellie Pingree , ME01
Gregorio Sablan , MP00
C. ”Dutch” Ruppersberger , MD02
John Sarbanes , MD03
Steny Hoyer , MD05
David Trone , MD06
Jamie Raskin , MD08
Richard Neal , MA01
James McGovern , MA02
Lori Trahan , MA03
Jake Auchincloss , MA04
Katherine Clark , MA05
Seth Moulton , MA06
Ayanna Pressley , MA07
Stephen Lynch , MA08
William Keating , MA09
Jack Bergman , MI01
Elissa Slotkin , MI08
Haley Stevens , MI11
Debbie Dingell , MI12
Rashida Tlaib , MI13
Dean Phillips , MN03
Betty McCollum , MN04
Trent Kelly , MS01
Bennie Thompson , MS02
Michael Guest , MS03
Steven Palazzo , MS04
Cori Bush , MO01
Ann Wagner , MO02
Vicky Hartzler , MO04
Matthew M. Rosendale Sr. , MT00
Don Bacon , NE02
Dina Titus , NV01
Mark Amodei , NV02
Susie Lee , NV03
Steven Horsford , NV04
Donald Norcross , NJ01
Jefferson Van Drew , NJ02
Andy Kim , NJ03
Christopher Smith , NJ04
Josh Gottheimer , NJ05
Frank Pallone , NJ06
Tom Malinowski , NJ07
Albio Sires , NJ08
Bill Pascrell , NJ09
Mikie Sherrill , NJ11
Bonnie Watson Coleman , NJ12
Melanie Stansbury , NM01
Teresa Leger Fernandez , NM03
Thomas Suozzi , NY03
Kathleen Rice , NY04
Grace Meng , NY06
Hakeem Jeffries , NY08
Yvette Clarke , NY09
Jerrold Nadler , NY10
Nicole Malliotakis , NY11
Carolyn Maloney , NY12
Adriano Espaillat , NY13
Alexandria Ocasio,Cortez , NY14
Jamaal Bowman , NY16
Sean Maloney , NY18
Paul Tonko , NY20
Claudia Tenney , NY22
Brian Higgins , NY26
Chris Jacobs , NY27
Deborah K. Ross , NC02
Greg Murphy , NC03
Kathy Manning , NC06
David Rouzer , NC07
Dan Bishop , NC09
Patrick McHenry , NC10
Ted Budd , NC13
Kelly Armstrong , ND00
Brad Wenstrup , OH02
Bill Johnson , OH06
Warren Davidson , OH08
Michael Turner , OH10
Shontel Brown , OH11
Troy Balderson , OH12
Mike Carey , OH15
Anthony Gonzalez , OH16
Kevin Hern , OK01
Stephanie I. Bice , OK05
Suzanne Bonamici , OR01
Cliff Bentz , OR02
Kurt Schrader , OR05
Brian Fitzpatrick , PA01
Brendan Boyle , PA02
Madeleine Dean , PA04
Mary Gay Scanlon , PA05
Chrissy Houlahan , PA06
Susan Wild , PA07
Scott Perry , PA10
John Joyce , PA13
Mike Kelly , PA16
Jenniffer Gonzalez Colon , PR00
Joe Wilson , SC02
Jeff Duncan , SC03
William Timmons , SC04
Dusty Johnson , SD00
Tim Burchett , TN02
Charles Fleischmann , TN03
Jim Cooper , TN05
Mark Green , TN07
David Kustoff , TN08
Steve Cohen , TN09
Dan Crenshaw , TX02
Jake Ellzey , TX06
Lizzie Fletcher , TX07
Kevin Brady , TX08
Michael McCaul , TX10
August Pfluger , TX11
Randy Weber , TX14
Vicente Gonzalez , TX15
Veronica Escobar , TX16
Pete Sessions , TX17
Sheila Jackson Lee , TX18
Jodey Arrington , TX19
Joaquin Castro , TX20
Chip Roy , TX21
Troy Nehls , TX22
Tony Gonzales , TX23
Beth Van Duyne , TX24
Michael Burgess , TX26
Henry Cuellar , TX28
John Carter , TX31
Marc Veasey , TX33
Blake D. Moore , UT01
Chris Stewart , UT02
Burgess Owens , UT04
Peter Welch , VT00
Robert Wittman , VA01
Elaine Luria , VA02
Robert Scott , VA03
Donald McEachin , VA04
Bob Good , VA05
Abigail Spanberger , VA07
Donald Beyer , VA08
Morgan Griffith , VA09
Jennifer Wexton , VA10
Gerald Connolly , VA11
Suzan DelBene , WA01
Rick Larsen , WA02
Jaime Herrera Beutler , WA03
Dan Newhouse , WA04
Cathy McMorris Rodgers , WA05
Pramila Jayapal , WA07
Kim Schrier , WA08
Adam Smith , WA09
Marilyn Strickland , WA10
Alexander Mooney , WV02
Carol Miller , WV03
Bryan Steil , WI01
Scott Fitzgerald , WI05
Glenn Grothman , WI06
Tom Tiffany , WI07
Liz Cheney , WY00
