Rep,Rep code
Jerry L. Carl , AL01
Mike Rogers , AL03
Robert Aderholt , AL04
Mo Brooks , AL05
Gary Palmer , AL06
Terri Sewell , AL07
Mary Peltola , AK00
Ann Kirkpatrick , AZ02
Andy Biggs , AZ05
David Schweikert , AZ06
Ruben Gallego , AZ07
Debbie Lesko , AZ08
Eric “Rick” Crawford , AR01
French Hill , AR02
Steve Womack , AR03
Bruce Westerman , AR04
Jared Huffman , CA02
Mike Thompson , CA05
Ami Bera , CA07
Jay Obernolte , CA08
Jerry McNerney , CA09
Josh Harder , CA10
Mark DeSaulnier , CA11
Nancy Pelosi , CA12
Barbara Lee , CA13
Jackie Speier , CA14
Eric Swalwell , CA15
Ro Khanna , CA17
Anna Eshoo , CA18
Zoe Lofgren , CA19
Jimmy Panetta , CA20
David G. Valadao , CA21
Salud Carbajal , CA24
Mike Garcia , CA25
Julia Brownley , CA26
Judy Chu , CA27
Adam Schiff , CA28
Tony Cardenas , CA29
Brad Sherman , CA30
Pete Aguilar , CA31
Grace Napolitano , CA32
Ted Lieu , CA33
Jimmy Gomez , CA34
Young Kim , CA39
Mark Takano , CA41
Ken Calvert , CA42
Katie Porter , CA45
"Jose ""Lou"" Correa ", CA46
Alan Lowenthal , CA47
Michelle Steel , CA48
Mike Levin , CA49
Scott Peters , CA52
Sara Jacobs , CA53
Joe Neguse , CO02
Lauren Boebert , CO03
Ken Buck , CO04
Jason Crow , CO06
Ed Perlmutter , CO07
John Larson , CT01
Joe Courtney , CT02
Rosa DeLauro , CT03
James “Jim” Himes , CT04
Jahana Hayes , CT05
Lisa Blunt Rochester , DE00
Eleanor Holmes Norton , DC00
Matt Gaetz , FL01
Neal Dunn , FL02
Kat Cammack , FL03
John Rutherford , FL04
Stephanie Murphy , FL07
Darren Soto , FL09
Val Demings , FL10
Daniel Webster , FL11
Gus Bilirakis , FL12
Kathy Castor , FL14
C. Scott Franklin , FL15
Vern Buchanan , FL16
Byron Donalds , FL19
Lois Frankel , FL21
Debbie Wasserman Schultz , FL23
Mario Diaz,Balart , FL25
Carlos Gimenez , FL26
Maria Elvira Salazar , FL27
"Earl ""Buddy"" Carter ", GA01
A. Drew Ferguson , GA03
Henry “Hank” Johnson , GA04
Nikema Williams , GA05
Lucy McBath , GA06
Carolyn Bourdeaux , GA07
Austin Scott , GA08
Jody Hice , GA10
Rick Allen , GA12
David Scott , GA13
Michael San Nicolas , GU00
Ed Case , HI01
