Rep,Rep code
Rep. Mike Rogers , AL03 
Rep. Mo Brooks , AL05
Rep. Gary Palmer , AL06 
Rep. Don Young , AK00
Rep. Andy Biggs , AZ05
Rep. David Schweikert , AZ06
Rep. Ruben Gallego , AZ07
Rep. Debbie Lesko , AZ08 
"Rep. Eric ""Rick"" Crawford ", AR01
Rep. French Hill , AR02 
Rep. Steve Womack , AR03
Rep. Bruce Westerman , AR04 
Rep. Jared Huffman , CA02
Rep. Mike Thompson , CA05 
Rep. Ami Bera , CA07
Rep. Jerry Mcnerney , CA09 
Rep. Josh Harder , CA10 
Rep. Mark DeSaulnier , CA11
Rep. Nancy Pelosi , CA12 
Rep. Barbara Lee , CA13 
Rep. Jackie Speier , CA14 
Rep. Eric Swalwell , CA15 
Rep. Ro Khanna , CA17 
Rep. Anna Eshoo , CA18
Rep. Zoe Lofgren , CA19 
Rep. TJ Cox , CA21
Rep. Devin Nunes , CA22 
Rep. Salud Carbajal , CA24 
Rep. Julia Brownley , CA26
Rep. Judy Chu , CA27 
Rep. Adam Schiff , CA28
Rep. Tony Cardenas , CA29 
Rep. Brad Sherman , CA30 
Rep. Pete Aguilar , CA31 
Rep. Ted Lieu , CA33
Rep. Gilbert Cisneros , CA39 
Rep. Mark Takano , CA41
Rep. Ken Calvert , CA42 
Rep. Nanette Barragan , CA44 
Rep. Katie Porter , CA45 
"Rep. Jose ""Lou"" Correa ", CA46 
Rep. Alan Lowenthal , CA47
Rep. Mike Levin , CA49 
Rep. Scott Peters , CA52 
Rep. Susan Davis , CA53
Rep. Joe Neguse , CO02
Rep. Ken Buck , CO04
Rep. Jason Crow , CO06 
Rep. John Larson , CT01
Rep. Joe Courtney , CT02
Rep. Rosa DeLauro , CT03
"Rep. James ""Jim"" Himes ", CT04 
Rep. Jahana Hayes , CT05 
Rep. Lisa Blunt Rochester , DE00
Rep. Eleanor Norton , DC00 
Rep. Matt Gaetz , FL01 
Rep. Neal Dunn , FL02 
Rep. Al Lawson , FL05 
Rep. Stephanie Murphy , FL07
Rep. Darren Soto , FL09 
Rep. Val Demings , FL10 
Rep. Gus Bilirakis , FL12
Rep. Charlie Crist , FL13 
Rep. Ross Spano , FL15 
Rep. Vern Buchanan , FL16 
Rep. Brian Mast , FL18 
Rep. Alcee Hastings , FL20 
Rep. Lois Frankel , FL21 
"Rep. Theodore ""Ted"" Deutch ", FL22
Rep. Debbie Wasserman Schultz , FL23 
Rep. Mario Diaz,balart , FL25 
Rep. Donna Shalala , FL27 
Rep. Drew Ferguson , GA03
Rep. Nikema Williams , GA05
Rep. Lucy Mcbath , GA06 
Rep. Austin Scott , GA08 
Rep. Ed Case , HI01 
Rep. Robin Kelly , IL02
Rep. Mike Quigley , IL05
Rep. Danny Davis , IL07
Rep. Raja Krishnamoorthi , IL08 
Rep. Janice Schakowsky , IL09 
Rep. Brad Schneider , IL10 
Rep. Bill Foster , IL11 
Rep. Rodney Davis , IL13 
Rep. Lauren Underwood , IL14 
Rep. Darin Lahood , IL18 
Rep. Susan Brooks , IN05 
Rep. Greg Pence , IN06 
Rep. Cynthia Axne , IA03 
Rep. Ron Estes , KS04 
Rep. James Comer , KY01 
Rep. Brett Guthrie , KY02
Rep. Harold Rogers , KY05
Rep. Steve Scalise , LA01
Rep. Clay Higgins , LA03 
Rep. Ralph Abraham , LA05 
Rep. Garret Graves , LA06 
Rep. Chellie Pingree , ME01
Rep. Gregorio Sablan , MP00
"Rep. C. ""Dutch"" Ruppersberger ", MD02
Rep. John Sarbanes , MD03
Rep. Steny Hoyer , MD05
Rep. David Trone , MD06
Rep. Jamie Raskin , MD08
Rep. James Mcgovern , MA02 
Rep. Lori Trahan , MA03 
Rep. Joseph Kennedy , MA04 
Rep. Katherine Clark , MA05
Rep. Seth Moulton , MA06 
Rep. Ayanna Pressley , MA07
Rep. Stephen Lynch , MA08
Rep. William Keating , MA09
Rep. Jack Bergman , MI01
Rep. Elissa Slotkin , MI08
Rep. Andy Levin , MI09
Rep. Haley Stevens , MI11 
Rep. Debbie Dingell , MI12 
Rep. Rashida Tlaib , MI13
Rep. Jim Hagedorn , MN01
Rep. Angie Craig , MN02
Rep. Dean Phillips , MN03
Rep. Ilhan Omar , MN05
Rep. Trent Kelly , MS01
Rep. Bennie Thompson , MS02
Rep. Michael Guest , MS03
Rep. Steven Palazzo , MS04
Rep. Ann Wagner , MO02
Rep. Vicky Hartzler , MO04
Rep. Greg Gianforte , MT00 
Rep. Don Bacon , NE02
Rep. Adrian Smith , NE03
Rep. Dina Titus , NV01
Rep. Mark Amodei , NV02
Rep. Susie Lee , NV03
Rep. Steven Horsford , NV04
Rep. Steven Horsford , NV04
Rep. Chris Pappas , NH01
Rep. Ann Kuster , NH02
Rep. Donald Norcross , NJ01
Rep. Jefferson Van Drew , NJ02
Rep. Andy Kim , NJ03
Rep. Christopher Smith , NJ04
Rep. Josh Gottheimer , NJ05
Rep. Frank Pallone , NJ06
Rep. Tom Malinowski , NJ07
Rep. Albio Sires , NJ08
Rep. Bill Pascrell , NJ09
Rep. Mickie Sherrill , NJ11
Rep. Debra Haaland , NM01
Rep. Xochitl Torres Small , NM02
Rep. Ben Ray Lujan , NM03
Rep. Thomas Suozzi , NY03
Rep. Kathleen Rice , NY04
Rep. Grace Meng , NY06
Rep. Hakeem Jeffries , NY08
Rep. Jerrold Nadler , NY10
Rep. Carolyn Maloney , NY12
Rep. Adriano Espaillat , NY13
Rep. Alexandria Ocasio,Cortez , NY14
Rep. Eliot Engel , NY16
Rep. Antonio Delgado , NY19
Rep. Paul Tonko , NY20 
Rep. Brian Higgins , NY26
Rep. Chris Jacobs , NY27 
Rep. G. K. Butterfield , NC01
Rep. George Holding , NC02
Rep. David Price , NC04
Rep. Mark Walker , NC06
Rep. Alma Adams , NC12
Rep. Steve Chabot , OH01
Rep. Joyce Beatty , OH03
Rep. Warren Davidson , OH08
Rep. Marcy Kaptur , OH09
Rep. Michael Turner , OH10 
Rep. Marcia Fudge , OH11
Rep. Troy Balderson , OH12 
Rep. Tim Ryan , OH13 
Rep. David Joyce , OH14 
Rep. Anthony Gonzalez , OH16
Rep. Kevin Hern , OK01 
Rep. Markwayne Mullin , OK02
Rep. Tom Cole , OK04 
Rep. Suzanne Bonamici , OR01 
Rep. Earl Blumenauer , OR03 
Rep. Peter Defazio , OR04
Rep. Brian Fitzpatrick , PA01
Rep. Dwight Evans , PA03
Rep. Madeleine Dean , PA04
Rep. Mary Scanlon , PA05
Rep. Chrissy Houlahan , PA06
Rep. Susan Wild , PA07
Rep. Scott Perry , PA10
Rep. Fred Keller , PA12
Rep. Mike Kelly , PA16
Rep. Conor Lamb , PA17
Rep. Jenniffer Gonzalez Colon , PR00
Rep. David Cicilline , RI01
Rep. Joe Wilson , SC02 
Rep. William Timmons , SC04
Rep. Dusty Johnson , SD00 
Rep. David Kustoff , TN08 
Rep. Steve Cohen , TN09
Rep. Dan Crenshaw , TX02
Rep. Van Taylor , TX03 
Rep. Ron Wright , TX06
Rep. Lizzie Fletcher , TX07
Rep. Kevin Brady , TX08
Rep. Michael Mccaul , TX10
Rep. Randy Weber , TX14
Rep. Veronica Escobar , TX16 
Rep. Joaquin Castro , TX20
Rep. Chip Roy , TX21
Rep. Pete Olson , TX22
Rep. Will Hurd , TX23 
Rep. Roger Williams , TX25 
Rep. Michael Burgess , TX26 
Rep. Michael Cloud , TX27
Rep. Henry Cuellar , TX28 
Rep. Sylvia Garcia , TX29 
Rep. Eddie Bernice Johnson , TX30 
Rep. John Carter , TX31 
Rep. Colin Allred , TX32 
Rep. Marc Veasey , TX33
Rep. Chris Stewart , UT02 
Rep. Ben McAdams , UT04
Rep. Elaine Luria , VA02 
Rep. Robert Scott , VA03 
Rep. Donald Mceachin , VA04 
Rep. Denver Riggleman , VA05 
Rep. Ben Cline , VA06 
Rep. Abigail Spanberger , VA07 
Rep. Donald Beyer , VA08 
Rep. Morgan Griffith , VA,09
Rep. Jennifer Wexton , VA10 
Rep. Gerald Connolly , VA11 
Rep. Suzan Delbene , WA01 
Rep. Rick Larsen , WA02 
Rep. Jaime Herrera Beutler , WA03 
Rep. Dan Newhouse , WA04 
Rep. Pramila Jayapal , WA07 
Rep. Kim Schrier , WA08 
Rep. Denny Heck , WA10 
Rep. Alexander Mooney , WV02 
Rep. Mike Gallagher , WI08 
Rep. Liz Cheney , WY00 
